# Autism Self-Efficacy Scale for Parents (ASSP)
# Family Empowerment Scale (FES)
# Three sub-domains
# Family (fes_fam)
# Service system (fes_ss)
# Community/Political (fes_cp)
# Kansas Inventory of Parental Perceptions (KIPP)
# This is KIPP section 4, 14 items, and not the whole KIPP
# Two sub-domains:
# Personal (kipp_pers)
# Professional (kipp_prof)
# assp_mean,fes_fam,fes_ss,fes_cp,kipp_pers,kipp_prof
68.929,48,37.091,21,1.75,3.1667
70.741,54,45,27,1.125,4
62.143,42,43,31.111,3.625,3.6667
65.357,45,38,25,2,2
50.833,37,40,28,1,4
67.593,44,44,18,2.875,3.5
36.071,41,43,17,4,1
78.929,52,55,50,2.875,3.8333
63.929,39,50,27,2,3
88.214,56,60,50,3,4
51.154,39.5,40,27,2.4286,2.8333
81.607,45,48,24.444,2.875,3.5
55.357,49,40,10,3,3.1667
62.857,45,44.727,24,3.25,2.8333
67.679,52,49,44.444,2.25,3
50.714,43,44,30,3.875,2.8333
43.571,34,30,23,2.125,3.5
68.571,42,41,21,1,2.5
69.286,50,47,25,3.5,2.6667
74.643,50,46,22,2.5,3.6667
73.214,58,55,47,3.125,3.6667
96.429,54,56,36,3.5,4
60.556,44,40,22,1.75,4
41.786,49.091,46,18,2.375,3.3333
43.929,42,31,28,2.125,4
16.679,36,30,20,3.625,2.8333
57.308,48,45,22,2.3333,2.75
72.143,53,60,48,2.625,3
43.571,37,31,23,3.2,2.5
41.071,38,29,22,3,2.1667
67.857,46,47,22,2.5,2.6667
67.679,46,42,13,1.25,3
62.857,47.5,43.5,16,3.875,2.6667
41.429,37,42,29,2.25,2.1667
31.071,37,40,24,3,3.6667
64.286,43,49,27,2.5,2.8333
64.643,49,52,30,2.375,3.8333
65.357,42,42,34,3,3.0833
55.179,43,46,25,2.25,2.8333
61.25,51,48,24,3.25,3
82.321,52,57,19,3,3
78.926,40.364,41,36.667,2.5,3.1667
53.929,49.5,50.5,25.5,3.875,3.3333
60,50,41,25,2.125,2.8333
74.286,40,44,34,3.375,3.1667
79.167,55,54,38,1.875,4
80.357,48,56,20,3.125,4
59.464,45,50,24,3.5,3.5
71.071,52,51,32,3.375,3.5
42.963,32,41,23,2.75,2
63.929,41,38,16,3.75,2.8333
75,36,37,17.5,3,3.4167
36.429,33,39,19.5,2.875,2.75
46.071,55,58,39,4,3.5
73.571,44,44,22,2.625,3.6667
86.071,49.5,27,11,2.5,2.6667
38,46,35,38,3,3
77.5,48,57,46,3.125,3.6667
42.143,31.5,36,26,2,2.3333
67.778,39,43,19,1.375,3.1667
64.286,40,37,31,3,3.5
50.714,33.6,37,19,3.25,2.8333
63.75,51.5,55,32,3.625,3.8333
82.321,38,54,28,2.5,3
53.182,44,46,23,1.8571,3
80.107,53,52,23,3.5,3.6667
62.857,42,42,29,2.875,3.3333
80,42,42,29,2.875,3.3333
60.714,41,38,31,2,3.1667
44.074,42,42,14,2.625,3.1667
56.036,43,50,29,3.5,2.8333
59.643,41,45,17,3.5,2.8333
65.893,47,48,36,3.125,2.6667
70.357,54,60,50,2.375,4
64.286,42,47,23,4,3.5
92.857,57.333,60,47.778,2.5,3.3333
78.929,46,53,23,3.625,3
75.357,54,46,34,3.625,2.8333
49.583,41,45,24,3.75,3
64.643,48,38,31,3.75,3
60.964,37.5,40,18,2,3.8333
81.2,45.5,49,32,3.375,3.1667
51.786,36,42,29,2.875,2.6
48.929,51,45,30,3,3.1667
70.357,37,48,33,3.125,2.8333
